PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
277553024,22051780,9,2022-04-07T02:29:00,"100 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,FORGERY,4101 Forgery.,404,,,-79.8783824278341,40.4433210032603
277554505,22051767,9,2022-04-07T02:54:00,"100 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,FORGERY,4101 Forgery.,404,,,-79.8783824278341,40.4433210032603
277599091,22052198,0,2022-04-08T00:42:00,"6700 Block Stanton Ave Pittsburgh, PA 15206",N,Highland Park,5,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1106,7,2,-79.9111162079057,40.4733703667819
-3529060828,22052259,0,2022-04-08T03:35:00,"100 Block Lytton Ave Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): ,403,8,3,-79.954633101577,40.4461006201583
-3545156329,22041703,14,2022-03-21T06:00:00,"300 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,CRIM MISCHIEF,3304 Criminal Mischief. / 3503 Criminal Trespass,3001,3,5,-79.9930100472604,40.4113600917377
-3251025132,22041704,0,2022-03-21T06:49:00,"7100 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,99,3301 Arson ,1302,9,2,-79.8985004674126,40.4578978331942
275797004,22040752,99,2022-03-19T13:18:00,"300 Block Moore Ave Pittsburgh, PA 15210",Y,Knoxville,3,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,3001,3,5,-79.9930100472604,40.4113600917377
275808854,22041753,99,2022-03-16T12:30:00,"500 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,FOUND DRUGS,9017 Found Drugs / 9489 Found Property,201,6,6,-79.9981194717119,40.4403400419921
275819157,22041874,27,2022-03-21T12:00:00,"200 Block East Ohio St Pittsburgh, PA 15212",N,Allegheny Center,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2204,,,,
275835929,22041913,0,2022-03-21T15:00:00,"2300 Block Osgood St Pittsburgh, PA 15214",N,Perry South,1,99,9993 PFA Service with Weapons Supplement,2614,6,1,-80.0071500938186,40.4665050303532
275846679,22041991,10,2022-03-21T14:30:00,"2300 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1408,5,3,-79.9234070320716,40.430512445279
275854365,22042031,0,2022-03-21T17:30:00,"900 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): Property Dispute,2304,1,1,-80.0019849735465,40.455044788164
275859635,22042094,26,2022-03-21T18:45:00,"2600 Block Kenn Ave Pittsburgh, PA 15214",Y,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2614,6,1,-80.0155279277683,40.4678159681642
275891441,22041790,6,2022-03-21T10:00:00,"1100 Block Portland St Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle,1102,7,2,-79.9233403483884,40.4751570422054
277434434,22051338,0,2022-04-06T14:00:00,"Dengler St & Spring St Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): ,1603,3,3,-79.9676522297338,40.4155665439381
277440540,22051339,6,2022-04-06T07:00:00,"70 Block Pasadena St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1807,3,5,-80.0019401734579,40.4232787349824
277442702,22051389,0,2022-04-06T16:25:00,"Liberty Ave & Tito Way Pittsburgh, PA 15222",Y,West Oakland,2,99,2703.1 Aggravated Harassment by Prisoner,402,6,6,-79.9989567011609,40.4426858986034
277443904,22051411,27,2022-04-06T16:30:00,"Fox Way & S 21st St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.9761374601645,40.4298802845945
277457869,22051447,0,2022-04-06T15:25:00,"E Carson St & Birmingham Brg Pittsburgh, PA 15203",Y,South Side Flats,3,99,3742 Accidents Involving Death or Personal Injury,1609,3,3,-79.9736110511252,40.4283706493669
277459352,22051448,4,2022-04-06T17:57:00,"500 Block Lenora St Pittsburgh, PA 15206",Y,Larimer,5,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 13(a)(31) Marijuana: Possession Small Amount / 5503 Disorderly Conduct. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1204,9,2,-79.9154242492905,40.4661533406728
-3345138471,22051522,10,2022-04-06T16:45:00,"2700 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709(a) Harassment.,1609,3,3,-79.9650872279218,40.4287884590463
276980879,22048699,99,2022-04-01T21:31:00,"4th Ave & Wood St Pittsburgh, PA 15222",Y,Central Business District,2,DRUG INVESTIGATION,9124 Drug Investigation,201,6,6,-80.0013048725924,40.4393869897012
277471895,22051116,10,2022-04-06T06:08:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-79.9974088316752,40.4415332222525
277520322,22051741,27,2022-04-07T08:00:00,"1400 Block Federal St N Pittsburgh, PA 15212",N,Central North Side,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2206,6,1,-80.0073883392294,40.4579805101082
277540866,22051825,0,2022-04-07T11:30:00,"2300 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Overbrook,3,99,"1333 Lost, Stolen, Damaged or Illegible Registration Plate.",3207,4,5,-79.9952305151305,40.3865342770527
275744612,22041362,99,2022-03-20T15:35:00,"3900 Block Riddle St Pittsburgh, PA 15212",N,Brighton Heights,1,FOUND DRUGS,9017 Found Drugs,2701,1,1,-80.0394954688345,40.4849787764973
275748288,22041492,3,2022-03-20T00:35:00,"Jane St & 23 St Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY,3701 Robbery.,1609,3,3,-79.9732267432296,40.4265218329392
275750952,22041478,11,2022-03-20T18:06:00,"400 Block Fort Pitt Blvd Pittsburgh, PA 15222",N,Central Business District,2,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft / 903 Criminal Conspiracy.,201,,,,
275759286,22041610,14,2022-03-20T23:54:00,"Finance St & N Braddock Ave Pittsburgh, PA 15208",Y,Homewood South,2,INJURY/TAMP/FIRE APP-HYD-ETC,3305 Limitations on Overtaking on the Left. / 3303 Overtaking Vehicle on the Left. / 5121 Escape. / 3736 Reckless Driving / 3361  Driving Vehicle at Safe Speed. / 3323 Stop Signs and Yield Signs. / 3111 Obedience to Traffic-Control Devices. / 1376 Surrender of Reg. Upon Susp. or Revocation. / 3361  Driving Vehicle at Safe Speed. / 3733 Fleeing or Attempting to Elude Police Officer / 3301 Driving on Right Side of Roadway.,201,9,2,-79.8925243573931,40.4506809315128
275831489,22041856,0,2022-03-21T12:22:00,"7300 Block Butler St Pittsburgh, PA 15201",N,Morningside,5,99,9999 9999 - (Misc. Incident): ,1014,7,2,-79.9213476044596,40.4879396949996
275854029,22042015,27,2022-03-21T17:10:00,"N Braddock Ave & Meade St Pittsburgh, PA 15208",N,Point Breeze North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1405,9,2,-79.8945388209838,40.4480199610078
277564433,22051917,6,2022-04-07T14:29:00,"2400 Block Mc Neilly Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1918,,,,
277565147,22051908,99,2022-04-07T14:58:00,"6400 Block Adelphia St Pittsburgh, PA 15206",N,Stanton Heights,5,AIDED CASE,9497 Aided Case,1018,7,2,-79.9317168626308,40.4871736766039
277586717,22052091,10,2022-04-07T19:39:00,"7000 Block Kelly St Pittsburgh, PA 15208",Y,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1303,9,2,-79.9018146354302,40.4566120579776
277591954,22052144,14,2022-04-07T21:40:00,"70 Block Allen St Pittsburgh, PA 15210",Y,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief.,1803,3,5,-79.9937298089796,40.421782764568
277638979,22051694,99,2022-04-05T11:12:00,"3400 Block Fleming Ave Pittsburgh, PA 15212",N,Brighton Heights,1,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2703,1,1,-80.038226953709,40.4769999999468
277645659,22052525,29,2022-04-08T14:58:00,"5700 Block Forbes Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,1413,5,3,-79.9252187225136,40.4373968636582
277648286,22052575,10,2022-04-07T13:00:00,"1900 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT,2709(a) Harassment.,1408,5,3,-79.9230679471987,40.4358796223012
277650177,22052604,11,2022-04-08T17:20:00,"5100 Block Friendship Ave Pittsburgh, PA 15224",N,Bloomfield,5,THEFT BY DECEPTION,3922 Theft by Deception.,806,7,2,-79.9428398816614,40.4622011462417
277652486,22052032,14,2022-03-22T18:46:00,"5600 Block Hobart St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1413,5,3,-79.9275274105715,40.4326102454902
277653345,22052615,14,2022-04-07T06:49:00,"5500 Block Ellsworth Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",709,8,2,-79.934867290177,40.45363835019
277654697,22052656,11,2022-04-08T18:50:00,"7300 Block Race St Pittsburgh, PA 15208",N,Homewood North,5,CREDIT CARDS,4106 Access Device Fraud,1302,9,2,-79.8935473002604,40.4583459019515
277656673,22052675,10,2022-04-08T19:21:00,"6600 Block Rowan St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1203,9,2,-79.9045384779846,40.4651182799984
276173167,22043122,0,2022-03-23T11:50:00,"7700 Block Penn Ave Pittsburgh, PA 15221",Y,Point Breeze North,4,99,1785 Proof of Financial Responsibility Following Accident. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1405,9,3,-79.893871347431,40.4463971633631
276189199,22041700,0,2022-03-21T06:34:00,"Ohio River (mm 0.1) Pittsburgh, PA 15212",N,Chateau,1,99,9999 9999 - (Misc. Incident): ,2108,,,,
276195049,22043720,14,2022-03-23T21:00:00,"700 Block Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,802,7,2,-79.949982715277,40.4589398392385
276212560,22043741,4,2022-03-24T12:06:00,"100 Block Hazlett St Pittsburgh, PA 15214",Y,Northview Heights,1,AGG-ASSAULT,2702 Aggravated Assault.,2609,1,1,-80.0016475315907,40.4771220938326
276222626,22043877,99,2022-03-24T17:15:00,"800 Block Western Ave Pittsburgh, PA 15233",N,Allegheny West,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2201,1,1,-80.0140594448068,40.4524152752896
